machine_quality,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,operating_hours,vibration_mm_s,pressure_bar,failure_type,machine_failure
M,305.11,315.57,1470.2,43.32,66,748.8,1.904,161.44,No Failure,0
L,299.22,309.19,1334.9,43.46,94,1182.3,2.544,162.32,No Failure,0
L,300.65,311.5,1306.8,53.46,49,565.1,1.903,144.67,No Failure,0
L,305.66,315.69,1642.3,24.24,128,764.2,2.755,150.12,No Failure,0
M,300.39,310.79,1406.0,58.27,130,201.4,3.332,149.63,No Failure,0
L,299.86,310.02,1649.3,32.64,29,538.9,2.029,167.34,No Failure,0
L,298.03,308.62,1296.3,42.61,115,363.7,2.461,145.56,No Failure,0
L,303.06,312.61,1618.1,35.04,79,159.1,2.32,157.78,No Failure,0
H,297.68,306.54,1720.9,28.44,101,868.9,2.419,150.83,No Failure,0
H,300.85,311.76,1247.7,44.62,223,607.2,4.526,168.54,No Failure,0
M,299.05,310.56,1480.6,42.37,110,497.3,2.689,142.02,No Failure,0
L,299.62,308.53,1576.6,38.95,163,516.9,3.044,137.48,No Failure,0
H,297.15,307.33,1385.2,38.47,53,222.2,2.109,127.41,No Failure,0
M,302.69,312.24,1333.0,55.26,240,1030.0,4.801,151.96,Overstrain Failure,1
M,299.44,310.33,1375.0,61.93,105,1027.9,3.346,152.84,No Failure,0
L,297.57,307.82,1352.7,52.53,78,392.0,2.826,147.38,No Failure,0
L,302.51,315.83,1445.1,42.77,9,260.6,1.676,160.88,No Failure,0
L,298.99,308.69,1650.9,23.63,211,876.3,3.316,168.23,No Failure,0
H,300.67,312.21,1344.5,46.27,140,1771.4,3.573,140.67,No Failure,0
L,301.68,313.32,1350.3,46.71,36,693.8,1.969,147.25,No Failure,0
L,300.95,311.48,1480.4,47.71,139,1122.3,2.995,129.68,No Failure,0
L,295.61,305.64,1676.7,28.59,66,475.6,1.528,150.7,No Failure,0
M,301.39,311.49,1467.9,48.5,166,786.2,2.963,142.34,No Failure,0
L,299.8,309.81,1497.6,55.62,44,86.9,2.693,144.82,No Failure,0
H,299.34,310.48,1616.4,30.17,178,443.5,2.576,148.14,No Failure,0
M,299.78,308.91,1611.5,46.85,44,254.1,2.66,155.75,No Failure,0
M,296.78,306.62,1570.9,31.88,168,2315.5,3.041,146.69,No Failure,0
L,300.38,310.1,1531.1,38.96,72,661.1,2.41,173.55,No Failure,0
M,297.27,305.55,1612.2,30.51,200,3087.7,3.729,148.58,Tool Wear Failure,1
M,299.43,310.29,1471.5,36.49,132,655.6,2.669,132.7,No Failure,0
M,300.31,311.38,1457.6,36.57,33,867.3,2.041,140.74,No Failure,0
L,302.15,311.51,1386.0,44.12,217,602.6,3.545,156.96,No Failure,0
L,298.36,309.39,1378.8,48.9,221,495.2,3.796,157.48,No Failure,0
L,302.9,311.32,1589.1,52.16,80,846.6,2.775,149.35,No Failure,0
L,301.89,311.92,1716.1,33.48,97,1087.2,2.565,149.39,No Failure,0
L,299.14,309.01,1441.7,43.6,2,319.8,1.8,151.67,No Failure,0
L,297.78,307.87,1550.0,29.02,166,486.3,3.484,157.39,No Failure,0
L,297.11,307.19,1315.6,38.89,112,193.0,2.675,148.97,No Failure,0
M,300.54,310.47,1407.1,40.43,30,128.5,2.391,134.33,No Failure,0
L,298.53,308.14,1501.0,30.77,162,1086.4,3.054,140.84,No Failure,0
H,302.4,312.29,1415.7,45.59,56,1007.4,2.453,142.27,No Failure,0
M,298.64,310.0,1461.2,38.44,58,567.6,2.369,135.21,No Failure,0
L,298.2,307.62,1507.0,41.54,232,1008.5,3.799,134.64,No Failure,0
M,300.47,312.72,1471.8,52.25,186,1120.4,3.768,153.19,No Failure,0
L,298.63,307.99,1468.7,35.72,34,1394.9,1.419,148.61,No Failure,0
H,300.02,310.26,1561.3,48.5,142,91.0,3.223,157.37,No Failure,0
L,301.97,312.54,1415.7,54.43,116,676.4,3.07,170.04,No Failure,0
M,300.23,309.94,1469.4,53.82,36,256.6,2.398,158.29,No Failure,0
L,300.24,311.62,1475.5,38.12,23,357.6,1.755,157.19,No Failure,0
L,300.41,310.96,1627.0,30.27,216,333.1,4.101,131.38,No Failure,0
L,296.61,306.41,1597.6,32.9,23,821.6,1.178,156.04,No Failure,0
H,300.78,312.15,1759.0,24.13,149,426.2,2.42,148.68,No Failure,0
M,300.32,309.3,1503.9,46.86,248,89.9,3.93,163.19,No Failure,0
L,301.79,311.22,1517.0,47.48,96,923.2,2.698,134.13,No Failure,0
L,301.21,311.77,1443.0,41.17,159,251.2,2.98,159.62,No Failure,0
L,299.6,310.4,1717.7,26.24,110,262.3,2.073,142.17,No Failure,0
M,302.06,312.39,1414.4,36.35,159,3366.9,2.966,137.13,No Failure,0
L,299.41,309.29,1338.0,53.8,69,1633.6,2.124,173.53,No Failure,0
L,300.49,310.24,1476.5,46.1,67,427.3,2.501,150.1,No Failure,0
H,299.38,310.51,1333.6,47.83,140,298.0,3.249,147.87,No Failure,0
H,300.92,311.16,1168.0,73.08,38,1055.9,2.261,142.78,No Failure,0
L,299.25,308.37,1390.7,43.28,140,3904.9,3.327,145.42,No Failure,0
M,303.3,312.37,1706.8,18.41,153,1899.8,2.298,144.4,Power Failure,1
L,304.03,315.55,1573.8,28.99,245,1124.3,3.668,146.27,No Failure,0
M,301.75,311.03,1562.3,43.06,62,1889.9,2.349,147.46,No Failure,0
L,303.08,313.36,1667.8,40.19,26,958.6,1.883,146.14,No Failure,0
M,296.92,308.27,1538.1,38.28,67,1805.9,1.767,136.33,No Failure,0
M,297.16,307.7,1466.3,38.46,200,378.9,3.703,149.37,No Failure,0
M,299.36,308.6,1595.9,32.16,105,1371.5,2.479,152.39,No Failure,0
L,300.08,309.07,1389.5,43.74,41,630.9,2.653,158.48,No Failure,0
H,299.6,311.47,1382.7,53.94,56,1100.2,2.617,162.21,No Failure,0
L,296.72,305.67,1583.0,57.32,200,1950.4,4.388,145.29,Power Failure,1
L,302.3,311.75,1345.4,57.04,234,533.7,3.998,153.26,Overstrain Failure,1
M,304.31,314.68,1603.7,30.44,37,357.5,1.305,158.09,No Failure,0
L,302.56,312.34,1487.1,39.8,144,1456.7,3.434,142.49,No Failure,0
H,302.17,312.74,1488.2,36.86,245,810.0,4.092,151.75,No Failure,0
H,300.45,308.98,1495.9,45.92,17,867.1,2.437,153.16,No Failure,0
L,298.31,308.1,1392.2,39.17,40,345.5,2.321,127.61,No Failure,0
H,300.15,310.82,1503.1,37.74,120,1048.7,3.075,149.11,No Failure,0
L,304.21,314.89,1261.5,54.55,17,1274.7,2.198,150.84,No Failure,0
M,299.3,308.72,1631.1,40.98,140,428.5,2.763,140.94,No Failure,0
L,299.09,308.07,1578.9,41.24,172,624.3,3.042,160.41,No Failure,0
H,302.21,312.43,1397.8,44.13,89,433.0,1.965,170.1,No Failure,0
L,302.35,311.03,1278.9,46.76,229,983.1,3.868,153.51,No Failure,0
L,298.3,309.59,1489.6,46.82,218,1624.5,3.913,135.35,No Failure,0
L,299.48,309.63,1371.9,55.52,180,13.5,3.68,146.84,No Failure,0
H,299.0,308.3,1804.8,27.14,130,467.0,2.648,138.57,No Failure,0
H,300.14,309.08,1600.2,43.24,25,2274.8,1.276,173.65,No Failure,0
M,302.21,311.57,1565.4,38.98,59,588.4,2.229,143.02,No Failure,0
H,298.39,306.83,1476.5,36.99,242,814.3,4.418,151.54,No Failure,0
H,302.18,312.67,1415.8,47.58,135,3154.1,2.863,162.61,No Failure,0
M,300.2,309.4,1423.5,52.97,108,2104.5,2.509,139.42,No Failure,0
L,304.65,315.05,1579.3,34.08,180,1017.9,2.809,140.81,No Failure,0
M,300.64,311.18,1301.4,56.87,59,604.9,2.338,164.18,No Failure,0
M,299.81,310.77,1491.8,25.68,77,1251.2,1.971,163.8,No Failure,0
L,301.15,311.4,1626.3,45.9,96,428.6,2.734,137.98,No Failure,0
L,299.33,310.45,1574.3,31.09,218,452.0,3.832,137.44,No Failure,0
M,296.41,307.8,1589.5,33.58,116,250.7,2.341,156.44,No Failure,0
L,299.52,309.78,1418.0,40.6,14,389.7,1.595,156.34,No Failure,0
H,299.49,309.81,1654.9,36.01,117,595.8,2.197,142.77,No Failure,0
L,296.82,306.26,1822.7,11.37,74,960.6,1.937,152.91,Power Failure,1
L,299.85,308.87,1456.5,46.11,118,1030.4,2.783,136.31,No Failure,0
H,295.87,307.15,1456.5,47.8,231,544.5,3.992,155.75,No Failure,0
L,299.3,309.91,1538.5,38.39,80,828.2,2.757,152.55,No Failure,0
L,300.49,311.17,1528.0,37.6,66,1713.9,2.24,129.81,No Failure,0
M,300.19,309.6,1580.0,36.27,118,1202.3,3.21,145.22,No Failure,0
H,299.18,310.8,1670.8,22.89,18,350.3,1.658,145.79,No Failure,0
L,299.83,309.6,1629.6,21.83,52,687.1,1.624,157.14,No Failure,0
L,298.43,307.63,1330.5,48.04,11,1557.5,1.532,137.25,No Failure,0
M,300.02,309.45,1412.5,50.65,226,398.4,4.021,162.9,No Failure,0
H,300.12,311.69,1519.8,45.97,188,329.0,3.902,150.25,No Failure,0
M,298.2,307.09,1530.2,43.79,40,428.7,1.655,162.18,No Failure,0
L,300.54,309.78,1555.5,47.83,84,608.9,2.411,133.18,No Failure,0
L,300.52,313.42,1570.4,47.16,27,345.6,1.76,152.93,No Failure,0
L,299.67,310.61,1626.0,32.15,191,443.0,3.223,151.69,No Failure,0
L,304.84,314.11,1499.1,42.22,32,1753.6,2.081,152.09,No Failure,0
M,299.72,308.64,1554.6,37.04,162,1586.6,3.217,153.82,No Failure,0
L,299.44,307.77,1470.9,37.17,143,78.8,3.024,152.94,No Failure,0
M,299.16,309.25,1480.7,51.4,187,153.6,3.277,123.05,No Failure,0
M,298.06,308.79,1493.2,55.75,213,1201.3,4.256,169.63,No Failure,0
M,301.37,312.89,1781.5,16.54,229,414.0,3.718,142.11,Power Failure,1
L,298.63,306.73,1570.5,37.45,82,313.8,2.295,142.84,No Failure,0
H,298.86,307.54,1502.9,36.93,203,910.0,3.298,150.68,No Failure,0
M,298.92,308.8,1375.0,51.61,43,1093.0,2.506,155.68,No Failure,0
M,298.03,310.82,1601.6,25.5,37,1190.3,2.08,134.12,No Failure,0
L,296.5,307.38,1673.5,10.1,220,1126.3,3.315,132.03,Power Failure,1
L,299.07,309.45,1459.0,48.21,226,952.6,3.806,167.67,No Failure,0
H,301.75,310.52,1171.3,49.63,168,573.0,3.154,145.81,No Failure,0
L,300.39,308.27,1594.2,22.16,83,1333.5,2.243,153.55,No Failure,0
L,303.12,313.16,1516.1,38.76,103,1272.0,2.135,137.77,No Failure,0
L,301.5,311.4,1602.7,55.3,201,1454.2,3.497,169.32,Power Failure,1
M,301.05,310.78,1586.6,29.22,57,331.0,2.017,159.98,No Failure,0
H,303.77,313.38,1495.6,41.01,130,317.1,3.391,143.27,No Failure,0
L,299.81,309.06,1384.3,45.08,98,3228.6,3.026,168.39,Random Failure,1
H,300.13,309.15,1769.0,25.72,43,1459.2,1.858,157.99,No Failure,0
L,299.98,311.37,1471.9,34.36,143,424.1,2.29,159.74,No Failure,0
M,303.09,312.2,1818.2,23.09,172,564.1,2.245,160.62,No Failure,0
M,300.01,309.73,1446.6,38.35,58,1107.4,2.095,145.53,No Failure,0
L,298.7,308.66,1648.0,32.09,167,1213.8,3.641,171.64,No Failure,0
L,301.18,311.88,1478.3,42.08,229,119.3,3.664,171.04,No Failure,0
L,298.37,307.52,1398.6,46.35,226,887.5,4.246,171.5,No Failure,0
H,301.07,312.05,1479.8,53.89,228,1272.7,4.25,122.26,No Failure,0
M,300.83,310.25,1433.0,63.32,102,444.3,2.914,150.46,Power Failure,1
H,299.62,309.46,1466.7,42.08,170,122.7,3.218,154.36,No Failure,0
H,301.13,312.77,1523.1,36.83,183,1155.4,2.862,146.22,No Failure,0
L,297.02,306.06,1492.8,36.25,243,209.0,4.087,150.15,No Failure,0
M,300.33,311.05,1597.4,30.35,129,1647.0,2.501,149.66,No Failure,0
L,299.07,310.08,1365.6,44.48,210,290.2,4.044,166.18,No Failure,0
L,305.72,316.03,1297.2,35.05,137,822.5,2.803,164.53,No Failure,0
H,300.31,310.19,1290.2,45.18,205,140.2,3.665,154.21,No Failure,0
M,298.81,310.93,1554.7,30.67,85,799.7,1.629,155.34,No Failure,0
L,297.24,307.23,1441.0,35.34,18,688.8,1.773,150.39,No Failure,0
M,302.61,312.81,1454.8,44.32,90,556.4,2.74,174.16,No Failure,0
M,299.3,308.96,1463.9,38.75,83,440.3,2.783,154.6,No Failure,0
H,298.42,308.57,1590.1,20.8,200,574.4,2.962,171.02,Power Failure,1
M,300.67,311.64,1442.8,39.85,172,455.7,3.396,161.74,No Failure,0
L,301.3,311.02,1651.2,31.98,158,1096.7,3.14,157.17,No Failure,0
L,301.27,309.16,1426.7,51.81,47,836.1,1.923,131.86,No Failure,0
L,300.04,310.55,1563.2,49.71,171,767.5,3.316,164.87,No Failure,0
M,300.32,309.24,1691.9,17.17,170,805.6,2.487,129.37,Power Failure,1
H,300.46,311.21,1264.0,48.01,232,499.7,3.749,147.8,No Failure,0
L,300.67,310.67,1374.9,43.89,66,924.5,2.219,133.69,No Failure,0
L,300.85,311.79,1629.1,25.16,172,1281.2,2.816,161.83,No Failure,0
L,302.19,311.24,1451.5,48.78,19,1013.4,1.961,145.18,No Failure,0
M,300.11,309.58,1549.7,27.2,183,1258.5,3.362,157.95,No Failure,0
H,298.37,308.03,1336.8,51.45,203,1079.8,4.037,124.91,No Failure,0
L,299.71,308.23,1497.0,33.54,193,901.6,3.637,160.85,No Failure,0
L,301.51,312.62,1608.4,24.82,112,250.4,2.337,160.13,No Failure,0
M,296.43,304.8,1325.9,61.21,107,385.0,2.94,137.78,Heat Dissipation Failure,1
L,296.44,307.54,1524.9,24.54,8,138.7,1.001,143.55,No Failure,0
H,301.84,312.26,1586.6,31.94,115,1280.0,2.799,166.17,No Failure,0
L,303.04,312.84,1570.1,33.9,179,256.4,3.561,153.42,No Failure,0
L,297.47,307.81,1526.6,35.44,244,352.6,4.325,160.32,No Failure,0
H,300.2,310.52,1381.9,46.99,26,524.9,2.094,128.89,No Failure,0
L,299.2,308.8,1555.8,40.58,139,527.8,2.862,148.12,No Failure,0
L,299.48,309.78,1538.8,50.04,61,602.0,2.085,162.45,No Failure,0
L,300.61,311.34,1429.9,43.72,93,1302.7,2.202,141.36,No Failure,0
L,297.41,306.47,1577.3,23.27,196,891.3,2.637,142.33,No Failure,0
L,297.79,308.13,1497.9,45.5,14,1038.4,2.158,150.0,No Failure,0
L,299.4,306.77,1375.9,42.34,13,322.3,1.891,140.91,Heat Dissipation Failure,1
L,299.71,307.78,1435.1,33.75,53,1053.7,2.706,167.22,No Failure,0
L,297.75,308.31,1275.7,60.74,63,306.6,2.609,158.81,No Failure,0
M,301.58,311.16,1479.2,46.08,194,586.3,3.679,150.09,No Failure,0
M,299.16,308.31,1345.4,49.42,68,428.6,2.577,175.43,No Failure,0
L,299.16,309.1,1420.2,49.77,231,450.0,4.285,148.76,Overstrain Failure,1
L,300.57,310.17,1352.8,35.8,244,2711.6,3.753,156.21,No Failure,0
M,299.74,308.75,1504.8,46.33,196,478.2,3.674,139.22,No Failure,0
H,301.67,310.04,1604.4,43.16,119,107.6,3.085,149.75,No Failure,0
H,298.13,306.16,1462.7,34.43,198,1244.1,3.946,158.57,No Failure,0
L,297.21,307.94,1637.7,27.78,40,625.5,1.481,158.16,No Failure,0
L,299.38,308.96,1479.3,40.24,219,1009.7,3.853,139.37,No Failure,0
L,300.12,311.09,1462.6,45.87,83,352.5,2.575,134.61,No Failure,0
L,297.52,307.09,1476.6,40.16,111,603.0,2.63,151.17,No Failure,0
M,297.22,307.58,1487.3,38.18,224,675.1,4.107,154.95,No Failure,0
L,300.36,310.24,1422.8,40.27,34,671.7,2.63,126.56,No Failure,0
L,298.48,308.53,1424.6,37.13,25,626.0,1.903,176.12,No Failure,0
L,297.09,307.19,1475.0,55.49,154,1190.3,3.216,153.95,No Failure,0
M,301.93,311.48,1327.3,42.7,245,1312.6,3.676,125.88,No Failure,0
L,298.74,307.51,1537.2,35.14,227,340.9,3.751,155.25,No Failure,0
H,302.3,313.07,1638.9,21.92,246,1260.3,3.981,130.85,No Failure,0
L,300.06,311.65,1511.6,38.03,111,371.7,2.608,137.86,No Failure,0
H,300.59,312.25,1606.0,34.23,153,964.8,3.092,155.74,No Failure,0
L,299.58,309.02,1515.8,33.86,204,94.7,4.103,135.06,No Failure,0
H,294.69,303.96,1483.4,49.43,45,1198.3,2.433,138.75,No Failure,0
H,297.73,307.17,1672.4,40.8,218,897.0,3.813,160.38,No Failure,0
H,299.75,309.57,1620.9,23.18,210,393.6,2.96,148.82,No Failure,0
H,300.73,310.68,1267.6,46.19,19,717.0,2.155,144.71,No Failure,0
M,296.42,305.42,1613.7,24.18,120,624.3,2.651,148.09,No Failure,0
M,299.89,308.41,1422.9,46.93,106,775.3,3.046,170.55,No Failure,0
M,297.76,307.81,1574.2,35.25,199,790.2,3.119,160.25,No Failure,0
L,300.47,306.94,1313.6,40.87,113,631.9,2.738,133.52,Heat Dissipation Failure,1
M,299.96,309.86,1531.2,39.75,232,1799.0,4.089,168.14,No Failure,0
M,301.49,310.54,1473.9,38.52,108,482.4,2.21,145.01,No Failure,0
H,302.13,312.91,1555.5,42.1,120,949.6,2.882,149.07,No Failure,0
L,300.92,311.97,1446.8,40.82,65,858.3,2.592,138.44,No Failure,0
L,301.72,312.79,1428.5,58.7,211,521.4,3.891,144.51,Overstrain Failure,1
M,299.3,308.95,1346.1,42.24,122,1658.1,3.183,152.42,No Failure,0
L,305.65,314.51,1481.8,42.47,123,321.3,2.888,150.94,No Failure,0
L,297.56,306.75,1469.3,32.9,180,1079.2,3.287,170.81,No Failure,0
L,298.94,309.23,1425.6,43.81,191,944.0,3.881,136.43,No Failure,0
L,301.8,310.16,1826.7,29.76,169,885.6,2.88,148.27,No Failure,0
L,301.51,312.9,1322.5,51.5,40,711.9,1.842,124.94,No Failure,0
L,300.97,310.64,1585.2,25.16,232,1254.4,3.543,143.17,No Failure,0
L,301.35,311.85,1464.6,31.56,206,239.4,3.59,162.51,No Failure,0
L,295.83,304.05,1602.7,23.71,183,382.9,3.209,168.12,No Failure,0
L,303.18,312.25,1452.9,44.2,138,912.1,3.159,169.13,No Failure,0
M,299.59,307.69,1467.8,35.76,188,405.5,3.172,145.45,No Failure,0
L,302.49,313.51,1587.0,46.86,176,346.0,3.64,146.29,No Failure,0
H,295.93,305.77,1682.0,30.24,72,1524.1,2.093,138.4,No Failure,0
H,300.51,311.08,1372.3,45.31,117,1579.6,3.334,147.68,No Failure,0
L,298.87,308.94,1527.1,45.8,7,953.1,2.053,164.17,No Failure,0
L,301.14,311.61,1439.8,42.12,0,413.7,1.798,160.0,No Failure,0
M,300.63,310.3,1386.9,40.31,128,491.9,2.832,143.92,No Failure,0
H,300.73,310.53,1424.4,41.37,188,805.0,3.401,146.12,No Failure,0
M,297.88,307.79,1459.8,30.89,194,599.6,3.29,146.55,No Failure,0
H,299.89,310.29,1670.7,29.25,205,1104.4,3.518,143.45,No Failure,0
M,299.64,310.07,1377.6,45.44,99,282.1,2.992,152.8,No Failure,0
M,300.99,313.8,1645.4,36.31,135,289.3,2.436,158.89,No Failure,0
L,301.98,313.66,1476.4,44.53,203,635.0,3.57,177.62,No Failure,0
M,300.3,308.52,1339.6,55.51,8,1584.7,2.364,150.14,Heat Dissipation Failure,1
L,297.45,307.3,1491.4,35.43,155,935.1,2.887,158.35,No Failure,0
M,300.22,309.81,1705.7,34.0,97,755.6,2.196,137.88,No Failure,0
H,305.22,316.5,1526.9,36.76,83,752.3,2.686,151.28,No Failure,0
L,303.29,312.98,1451.5,40.39,142,1537.6,3.178,148.13,No Failure,0
M,294.05,304.52,1527.7,46.14,85,2067.0,2.639,157.99,No Failure,0
L,300.13,307.79,1555.0,39.72,147,274.2,3.247,155.88,No Failure,0
M,301.86,310.35,1244.8,60.79,170,816.9,3.63,158.27,Heat Dissipation Failure,1
L,299.64,311.73,1466.8,44.21,127,871.5,2.964,148.34,No Failure,0
H,299.08,309.13,1274.8,47.81,144,494.3,3.224,145.88,No Failure,0
L,299.47,308.47,1499.9,39.63,98,369.5,2.475,135.57,No Failure,0
